,time,O1,O2,Fp2,Fp1,contact_O1,contact_O2,contact_Fp2,contact_Fp1,Sample,Streaming,Battery
17775,71.1,0.115782125,0.5625,-0.025438275390624997,-0.0402154375,1.0,0.0,1.0,1.0,30176.0,1.0,84.0
17776,71.104,0.1157928515625,0.5625,-0.02544544921875,-0.040218855468749995,1.0,0.0,1.0,1.0,30177.0,1.0,84.0
17777,71.108,0.11580385156249999,0.5625,-0.025449136718749998,-0.04022147265625,1.0,0.0,1.0,1.0,30178.0,1.0,84.0
17778,71.112,0.115799359375,0.5625,-0.025443773437499997,-0.04022147265625,1.0,0.0,1.0,1.0,30179.0,1.0,84.0
17779,71.116,0.11578762499999999,0.5625,-0.0254405546875,-0.040214765624999996,1.0,0.0,1.0,1.0,30180.0,1.0,84.0
17780,71.12,0.11578152343749999,0.5625,-0.025441828125,-0.0402104765625,1.0,0.0,1.0,1.0,30181.0,1.0,84.0
17781,71.124,0.1157884921875,0.5625,-0.025445248046875,-0.04021630859375,1.0,0.0,1.0,1.0,30182.0,1.0,84.0
17782,71.128,0.1158008359375,0.5625,-0.02544544921875,-0.04022160546875,1.0,0.0,1.0,1.0,30183.0,1.0,84.0
17783,71.132,0.1158011015625,0.5625,-0.025443302734375,-0.04022053515625,1.0,0.0,1.0,1.0,30184.0,1.0,84.0
17784,71.136,0.115796609375,0.5625,-0.025440353515625,-0.04022502734375,1.0,0.0,1.0,1.0,30185.0,1.0,84.0
17785,71.14,0.11579614062499999,0.5625,-0.025439011718749998,-0.0402297890625,1.0,0.0,1.0,1.0,30186.0,1.0,84.0
17786,71.144,0.11580525781249999,0.5625,-0.02544591796875,-0.040232671875,1.0,0.0,1.0,1.0,30187.0,1.0,84.0
17787,71.148,0.1158146484375,0.5625,-0.025448802734374998,-0.04023159765625,1.0,0.0,1.0,1.0,30188.0,1.0,84.0
17788,71.152,0.11581364062499999,0.5625,-0.0254458515625,-0.04022328125,1.0,0.0,1.0,1.0,30189.0,1.0,84.0
17789,71.156,0.1158045859375,0.5625,-0.025442095703125,-0.0402200625,1.0,0.0,1.0,1.0,30190.0,1.0,84.0
17790,71.16,0.115793125,0.5625,-0.025443101562499997,-0.04022160546875,1.0,0.0,1.0,1.0,30191.0,1.0,84.0
17791,71.164,0.11579265625,0.5625,-0.02545108203125,-0.040222878906249995,1.0,0.0,1.0,1.0,30192.0,1.0,84.0
17792,71.168,0.115803921875,0.5625,-0.025452625,-0.0402236171875,1.0,0.0,1.0,1.0,30193.0,1.0,84.0
17793,71.172,0.11580928124999999,0.5625,-0.02544833203125,-0.040222812499999996,1.0,0.0,1.0,1.0,30194.0,1.0,84.0
17794,71.176,0.11580210937499999,0.5625,-0.025448802734374998,-0.0402270390625,1.0,0.0,1.0,1.0,30195.0,1.0,84.0
17795,71.18,0.11579600781249999,0.5625,-0.025450880859375,-0.04022723828125,1.0,0.0,1.0,1.0,30196.0,1.0,84.0
17796,71.184,0.11580244531249999,0.5625,-0.02545671484375,-0.04022375390625,1.0,0.0,1.0,1.0,30197.0,1.0,84.0
17797,71.188,0.1158142421875,0.5625,-0.025460939453124998,-0.040221339843749995,1.0,0.0,1.0,1.0,30198.0,1.0,84.0
17798,71.192,0.1158169296875,0.5625,-0.02545959765625,-0.04022529296875,1.0,0.0,1.0,1.0,30199.0,1.0,84.0
17799,71.196,0.1158121640625,0.5625,-0.025459798828124998,-0.040231398437499996,1.0,0.0,1.0,1.0,30200.0,1.0,84.0
17800,71.2,0.1158111640625,0.5625,-0.02546,-0.040226031249999995,1.0,0.0,1.0,1.0,30201.0,1.0,84.0
17801,71.204,0.11581813281249999,0.5625,-0.025459464843749998,-0.040223351562499995,1.0,0.0,1.0,1.0,30202.0,1.0,84.0
17802,71.208,0.1158173984375,0.5625,-0.025461810546874998,-0.0402209375,1.0,0.0,1.0,1.0,30203.0,1.0,84.0
17803,71.212,0.115806734375,0.5625,-0.025463353515625,-0.04021986328125,1.0,0.0,1.0,1.0,30204.0,1.0,84.0
17804,71.216,0.11579365625,0.5625,-0.0254566484375,-0.040223015625,1.0,0.0,1.0,1.0,30205.0,1.0,84.0
17805,71.22,0.11578728906249999,0.5625,-0.0254566484375,-0.040229386718749996,1.0,0.0,1.0,1.0,30206.0,1.0,84.0
17806,71.224,0.11579318749999999,0.5625,-0.025461140625,-0.04022643359375,1.0,0.0,1.0,1.0,30207.0,1.0,84.0
17807,71.228,0.11580525781249999,0.5625,-0.025461140625,-0.04022744140625,1.0,0.0,1.0,1.0,30208.0,1.0,84.0
17808,71.232,0.11580982031249999,0.5625,-0.0254571171875,-0.04023193359375,1.0,0.0,1.0,1.0,30209.0,1.0,84.0
17809,71.236,0.115798890625,0.5625,-0.025452021484375,-0.04023112890625,1.0,0.0,1.0,1.0,30210.0,1.0,84.0
17810,71.24,0.11578715625,0.5625,-0.025451216796875,-0.0402265703125,1.0,0.0,1.0,1.0,30211.0,1.0,84.0
17811,71.244,0.1157928515625,0.5625,-0.025453294921874998,-0.04022502734375,1.0,0.0,1.0,1.0,30212.0,1.0,84.0
17812,71.248,0.115806265625,0.5625,-0.025455910156249997,-0.040231398437499996,1.0,0.0,1.0,1.0,30213.0,1.0,84.0
17813,71.252,0.115808140625,0.5625,-0.025457453124999998,-0.040226300781249995,1.0,0.0,1.0,1.0,30214.0,1.0,84.0
17814,71.256,0.11580364843749999,0.5625,-0.025451820312499998,-0.040222546875,1.0,0.0,1.0,1.0,30215.0,1.0,84.0
17815,71.26,0.11580553125,0.5625,-0.025455240234375,-0.04022066796875,1.0,0.0,1.0,1.0,30216.0,1.0,84.0
17816,71.264,0.115814109375,0.5625,-0.025461609375,-0.0402203984375,1.0,0.0,1.0,1.0,30217.0,1.0,84.0
17817,71.268,0.115828859375,0.5625,-0.025463957031249998,-0.040223015625,1.0,0.0,1.0,1.0,30218.0,1.0,84.0
17818,71.272,0.1158374453125,0.5625,-0.025460201171875,-0.04022562890625,1.0,0.0,1.0,1.0,30219.0,1.0,84.0
17819,71.276,0.11583402343749999,0.5625,-0.025459933593749998,-0.04022663671875,1.0,0.0,1.0,1.0,30220.0,1.0,84.0
17820,71.28,0.11583060937499999,0.5625,-0.025460939453124998,-0.040227640625,1.0,0.0,1.0,1.0,30221.0,1.0,84.0
17821,71.284,0.1158373125,0.5625,-0.025464359375,-0.040225765625,1.0,0.0,1.0,1.0,30222.0,1.0,84.0
17822,71.288,0.1158509921875,0.5625,-0.0254672421875,-0.0402217421875,1.0,0.0,1.0,1.0,30223.0,1.0,84.0
17823,71.292,0.11585052343749999,0.5625,-0.025466437499999998,-0.040225964843749996,1.0,0.0,1.0,1.0,30224.0,1.0,84.0
17824,71.296,0.1158355703125,0.5625,-0.025467443359374998,-0.040228312499999995,1.0,0.0,1.0,1.0,30225.0,1.0,84.0
17825,71.3,0.115823296875,0.5625,-0.025465833984375,-0.040232,1.0,0.0,1.0,1.0,30226.0,1.0,84.0
17826,71.304,0.1158188046875,0.5625,-0.02545751953125,-0.04023273828125,1.0,0.0,1.0,1.0,30227.0,1.0,84.0
17827,71.308,0.11581833593749999,0.5625,-0.02545671484375,-0.040227640625,1.0,0.0,1.0,1.0,30228.0,1.0,84.0
17828,71.312,0.11580982031249999,0.5625,-0.025455642578125,-0.04023159765625,1.0,0.0,1.0,1.0,30229.0,1.0,84.0
17829,71.316,0.11579352343749999,0.5625,-0.025454033203125,-0.040240382812499996,1.0,0.0,1.0,1.0,30230.0,1.0,84.0
17830,71.32,0.11578152343749999,0.5625,-0.025454501953125,-0.040242191406249996,1.0,0.0,1.0,1.0,30231.0,1.0,84.0
17831,71.324,0.1157847421875,0.5625,-0.025458458984374998,-0.040242191406249996,1.0,0.0,1.0,1.0,30232.0,1.0,84.0
17832,71.328,0.115794125,0.5625,-0.02545866015625,-0.04023870703125,1.0,0.0,1.0,1.0,30233.0,1.0,84.0
17833,71.332,0.1157909765625,0.5625,-0.025454099609375,-0.04023468359375,1.0,0.0,1.0,1.0,30234.0,1.0,84.0
17834,71.336,0.115780046875,0.5625,-0.02545302734375,-0.04024024609375,1.0,0.0,1.0,1.0,30235.0,1.0,84.0
17835,71.34,0.1157707265625,0.5625,-0.025454300781249998,-0.0402433984375,1.0,0.0,1.0,1.0,30236.0,1.0,84.0
17836,71.344,0.11577314062499999,0.5625,-0.025460134765625,-0.040240449218749995,1.0,0.0,1.0,1.0,30237.0,1.0,84.0
17837,71.348,0.11578360156249999,0.5625,-0.02546275,-0.04024091796875,1.0,0.0,1.0,1.0,30238.0,1.0,84.0
17838,71.352,0.11578098437499999,0.5625,-0.02546248046875,-0.040239308593749995,1.0,0.0,1.0,1.0,30239.0,1.0,84.0
17839,71.356,0.115770859375,0.5625,-0.025461945312499998,-0.0402339453125,1.0,0.0,1.0,1.0,30240.0,1.0,84.0
17840,71.36,0.1157618046875,0.5625,-0.025462951171874998,-0.04023468359375,1.0,0.0,1.0,1.0,30241.0,1.0,84.0
17841,71.364,0.11576690625,0.5625,-0.0254661015625,-0.04023333984375,1.0,0.0,1.0,1.0,30242.0,1.0,84.0
17842,71.368,0.1157840703125,0.5625,-0.02547086328125,-0.040232,1.0,0.0,1.0,1.0,30243.0,1.0,84.0
17843,71.372,0.11578916406249999,0.5625,-0.025470058593749997,-0.040234617187499995,1.0,0.0,1.0,1.0,30244.0,1.0,84.0
17844,71.376,0.1157787734375,0.5625,-0.025469791015625,-0.040239109375,1.0,0.0,1.0,1.0,30245.0,1.0,84.0
17845,71.38,0.11577160156249999,0.5625,-0.025464158203125,-0.040240382812499996,1.0,0.0,1.0,1.0,30246.0,1.0,84.0
17846,71.384,0.11577991406249999,0.5625,-0.02546120703125,-0.040246214843749996,1.0,0.0,1.0,1.0,30247.0,1.0,84.0
17847,71.388,0.1157930546875,0.5625,-0.025465431640624998,-0.04024594921875,1.0,0.0,1.0,1.0,30248.0,1.0,84.0
17848,71.392,0.115798421875,0.5625,-0.0254656328125,-0.04024460546875,1.0,0.0,1.0,1.0,30249.0,1.0,84.0
17849,71.396,0.1157904375,0.5625,-0.025464828125,-0.04024138671875,1.0,0.0,1.0,1.0,30250.0,1.0,84.0
17850,71.4,0.115778703125,0.5625,-0.0254640234375,-0.04024266015625,1.0,0.0,1.0,1.0,30251.0,1.0,84.0
17851,71.404,0.1157758203125,0.5625,-0.0254644921875,-0.040249570312499997,1.0,0.0,1.0,1.0,30252.0,1.0,84.0
17852,71.408,0.115782796875,0.5625,-0.025465498046875,-0.04024259375,1.0,0.0,1.0,1.0,30253.0,1.0,84.0
17853,71.412,0.1157868203125,0.5625,-0.025460671875,-0.040240179687499995,1.0,0.0,1.0,1.0,30254.0,1.0,84.0
17854,71.416,0.1157806484375,0.5625,-0.025455171874999998,-0.040239109375,1.0,0.0,1.0,1.0,30255.0,1.0,84.0
